subnet,ip,hostname,os,services
10.0.4.128/26,10.0.4.188,wordpress,Ubuntu 22.0.4.05 LTS (Jammy Jellyfish),Wordpress
10.0.4.0/25,10.0.4.32,grafana,Debian GNU/Linux 11 (bullseye),Grafana
10.0.4.128/26,10.0.4.148,teleport,Ubuntu 16.04 LTS (Xenial Xerus),Teleport
10.0.4.0/25,10.0.4.48,semaphore,SUSE Linux Enterprise Server 15 SP6,semaphore
10.0.4.0/25,10.0.4.100,falco,Rocky Linux 9.4 (Blue Onyx),Falco
8a04::/64,2600:1f26:1d:8a04::cafe:0,POS,Windows Server 2022 Datacenter, POS Software
8a04::/64,2600:1f26:1d:8a04::100:1,kiosk,Debian GNU/Linux 11 (bullseye),Kiosk
8a04::/64,2600:1f26:1d:8a04::100:1,kiosk,Debian GNU/Linux 11 (bullseye),Kiosk
10.0.4.0/25,10.0.4.120,windows-ad,Microsoft Windows Server 2022 Datacenter,"AD, CA"
10.0.4.0/25,10.0.4.110,windows-adfs,Microsoft Windows Server 2022 Datacenter,"CA, AD FS"
