subnet,ip,hostname,os,services
192.168.1.0/24,192.168.1.1,bigbang,Fedora 42,MySQL
192.168.1.0/24,192.168.1.2,dinoasteroid,Ubuntu 24.04,Wazuh
192.168.1.0/24,192.168.1.3,wrightbrothers,Windows Server 2022,SMB
192.168.1.0/24,192.168.1.4,moonlanding,Windows 10,IIS
10.1.1.0/24,10.1.1.1,pyramids,Windows Server 2022,AD/DNS
10.1.1.0/24,10.1.1.2,firstolympics,Windows 10,WinRM
10.1.1.0/24,10.1.1.3,silkroad,Windows 10,ICMP
10.1.1.0/24,10.1.1.4,vikingraids,Debian 12,SSH
10.1.1.0/24,10.1.1.5,enlightenment,Ubuntu 24.04,FTP
10.1.1.0/24,10.1.1.6,chernobyl,Rocky 9,Docker (Apache)
